alpha,mean_rankIC_5d,ICIR_5d,stability_pos_ratio,mean_rankIC_1w,ICIR_1w,stability_pos_ratio_1w,direction,turnover_weekly,sharpe_weekly,sharpe_weekly_net,mdd,mdd_net,n_rankic_days,n_weeks
llm_vol_020,0.012316586433089846,0.05940322513364306,0.5786516853932584,0.019195963862202632,0.09479518064648186,0.559322033898305,1.0,0.6664221892821115,0.67107072842826,0.43466899230777495,-0.22674940331017135,-0.3167342053967074,3710,771
llm_rev_001,0.013625570853507253,0.057148128288224354,0.5666666666666667,0.01706355551175949,0.07309322022772215,0.5611111111111111,1.0,1.5069254393967038,0.07470922617245018,-0.35791989809555813,-0.41731458749046757,-0.7099782369369452,3765,783
llm_rev_019,0.013625570853507253,0.057148128288224354,0.5666666666666667,0.01706355551175949,0.07309322022772215,0.5611111111111111,1.0,1.5069254393967038,0.07470922617245018,-0.35791989809555813,-0.41731458749046757,-0.7099782369369452,3765,783
llm_rev_003,0.013625570853507253,0.057148128288224354,0.5666666666666667,0.01706355551175949,0.07309322022772215,0.5611111111111111,1.0,1.5069254393967038,0.07470922617245018,-0.35791989809555813,-0.41731458749046757,-0.7099782369369452,3765,783
rev_5_rank,0.013625570853507253,0.057148128288224354,0.5666666666666667,0.01706355551175949,0.07309322022772215,0.5611111111111111,1.0,1.5069254393967038,0.07470922617245018,-0.35791989809555813,-0.41731458749046757,-0.7099782369369452,3765,783
llm_rev_005,0.009549492096058876,0.04259745730954343,0.5418994413407822,0.015432803678148213,0.0699649971574137,0.5642458100558659,1.0,1.5483907940583164,0.2483300697196482,-0.2511011921798867,-0.3728705338237719,-0.5781808125373921,3750,779
llm_rev_004,0.009760799697651753,0.03971119464279215,0.5777777777777777,0.012477050394025932,0.05195623442610096,0.55,1.0,1.0672801729387407,0.03657368475672942,-0.27081028691947834,-0.562256277047879,-0.6903919051538063,3760,782
llm_rev_002,0.009760799697651753,0.03971119464279215,0.5777777777777777,0.012477050394025932,0.05195623442610096,0.55,1.0,1.0672801729387407,0.03657368475672942,-0.27081028691947834,-0.562256277047879,-0.6903919051538063,3760,782
llm_rev_020,0.009760799697651753,0.03971119464279215,0.5777777777777777,0.012477050394025932,0.05195623442610096,0.55,1.0,1.0672801729387407,0.03657368475672942,-0.27081028691947834,-0.562256277047879,-0.6903919051538063,3760,782
rev_10_rank,0.009760799697651753,0.03971119464279215,0.5777777777777777,0.012477050394025932,0.05195623442610096,0.55,1.0,1.0672801729387407,0.03657368475672942,-0.27081028691947834,-0.562256277047879,-0.6903919051538063,3760,782
